,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,196393,Godrej Finance Limited,"All that part and parcel of Flat No. 5, admeasuring on or about 53.903 sq mtrs. ...I am interested",Pune,20 Jun 2025,"52,61,400.00","5,26,140.00",SARFAESI,--,195478,1,Immovable,Flat,0
,195551,HDFC Bank,"Residential cum commercial Property situated at Plot
No.168 at Scheme No.78, Par...I am interested",Indore,20 Jun 2025,"4,00,00,000.00","40,00,000.00",SARFAESI,--,194643,0,Immovable,Commerical,0
,195950,HDFC Bank,"LOT No. 

1) Residential Property situated at Mouja Boda JN- 458, PH-24, Aarzi N...I am interested",Rewa,20 Jun 2025,"45,00,000.00","4,50,000.00",SARFAESI,--,195038,0,Immovable,Residential,0
,195951,HDFC Bank,"LOT No. 

(2) Residential Open Plot Property situated at Mouja Boda JN-458,PH -2...I am interested",Rewa,20 Jun 2025,"35,00,000.00","3,50,000.00",SARFAESI,--,195039,0,Immovable,Residential,
,195952,HDFC Bank,"LOT No. 

(3) Property situated at Mouja Boda JN-458,PH- 24, Aarzi No.-834/22, 8...I am interested",Rewa,20 Jun 2025,"70,00,000.00","7,00,000.00",SARFAESI,--,195040,0,Immovable,Residential,0
,195962,HDFC Bank,"Land and showroom located at:
I. All those piece and parcels of vacant land or o...I am interested",Thane,20 Jun 2025,"26,10,00,000.00","2,61,00,000.00",SARFAESI,--,195051,0,Immovable,Vacant Land,
,196357,HDFC Bank,"All the piece 
& parcel of 
Industrial 
immovable 
property Plt No. 
E-4, 
Admea...I am interested",Gondia,20 Jun 2025,"1,00,00,000.00","10,00,000.00",SARFAESI,--,195442,0,Immovable,Plot,0
,198222,IKF Home Finance Limited,"SCHEDULE “A” Property
All that Piece and Parcel of Property bearing 1) Survey No...I am interested",Bangalore,20 Jun 2025,"19,00,000.00","1,90,000.00",SARFAESI,--,197300,0,Immovable,Land,0
,195527,Repco Home Finance Ltd,All the piece and parcel of land together with building bearing Door No. F3/189 ...I am interested,Perambalur,20 Jun 2025,"32,99,000.00","3,29,900.00",SARFAESI,--,194619,0,Immovable,Land And Building,0
,195709,NKGSB CO-OP BANK LTD,"Bungalow No. 1, (As per title deed flat No. B-1), known as ""M/s.Sanchaiti Hospi...I am interested",Mumbai,20 Jun 2025,"10,35,00,000.00","1,03,50,000.00",SARFAESI,--,194799,0,Immovable,Bunglow,0
